'chang'dao'shi're'zheng 肠道湿热证
'dan'qi'bu'li'zheng 胆气不利证
'dan'wei'bu'he'zheng 胆胃不和证
'dan'wei'shi'he'zheng 胆胃失和证
'fei'qi'xu'ruo'zheng 肺气虚弱证
'fei'qi'xu'zheng 肺气虚证
'fei'yin'kui'hao'zheng 肺阴亏耗证
'fei'zao'zheng 肺燥证
'feng'han'fan'fei'zheng 风寒犯肺证
'feng'han'shi'xie'zheng 风寒湿邪证
'feng'han'shu'fei'zheng 风寒束肺证
'feng're'ju'sheng'zheng 风热俱盛证
'feng're'zai'biao'zheng 风热在表证
'feng'shi'hua're'zheng 风湿化热证
'feng'shui'fan'lan'zheng 风水泛滥证
'feng'tan'zheng 风痰证
'feng'xie'xi'luo'zheng 风邪袭络证
'feng'xie'zu'luo'zheng 风邪阻络证
'feng'zao'shang'fei'zheng 风燥伤肺证
'gan'dan'huo'sheng 肝胆火盛
'gan'dan'huo'sheng'zheng 肝胆火盛证
'gan'dan'huo'wang'zheng 肝胆火旺证
'gan'feng'nei'dong'zheng 肝风内动证
'gan'pi'qi'zhi'zheng 肝脾气滞证
'gan'pi'xue'yu'zheng 肝脾血瘀证
'gan'qi'yu'jie 肝气郁结
'gan'shen'bu'zu'xia'yuan'bu'gu'zheng 肝肾不足下元不固证
'gan'shen'kui'sun'zheng 肝肾亏损证
'gan'shen'liang'kui'zheng 肝肾两亏证
'gan'shen'liang'xu'zheng 肝肾两虚证
'gan'wang'pi'xu'zheng 肝旺脾虚证
'gan'wei'yu're'zheng 肝胃郁热证
'gan'xue'bu'zu'zheng 肝血不足证
'gan'yang'bao'kang'zheng 肝阳暴亢证
'gan'yu'dan'han'zheng 肝郁胆寒证
'han'ning'qi'zhi'zheng 寒凝气滞证
'han'shi'kun'pi'yu'er'hua're'zheng 寒湿困脾郁而化热证
'han'shi'zu'zhi'zheng 寒湿阻滞证
'han'xie'ke'wei'zheng 寒邪客胃证
'hui'chong'shang'rao'zheng 蛔虫上扰证
'hui'jue'zheng 蛔厥证
'huo'du'shang'yin'zheng 火毒伤阴证
'huo're'shang'yin'zheng 火热伤阴证
'jin'kui'xue'shao'zheng 津亏血少证
'jing'kong'shang'shen'zheng 惊恐伤肾证
'luo'qi'bu'he'zheng 络气不和证
'ming'men'huo'shuai'zheng 命门火衰证
'pi'shen'kui'xu'zheng 脾肾亏虚证
'pi'shen'yang'shuai'zheng 脾肾阳衰证
'pi'wei'qi'xu'zheng 脾胃气虚证
'pi'xu'xue'kui'zheng 脾虚血亏证
'qi'hua'bu'ji'zheng 气化不及证
'qi'ji'ni'luan'zheng 气机逆乱证
'qi'ji'shi'tiao'zheng 气机失调证
'qi'xu'shi'zu'zheng 气虚湿阻证
'qi'xu'xia'xian'zheng 气虚下陷证
'qi'xu'xue'yu'jing'mai'bu'tong'zheng 气虚血瘀经脉不通证
'qi'xu'zheng 气虚证
'qi'xue'yu'zhi'zheng 气血瘀滞证
'qi'yin'kui'xu'zheng 气阴亏虚证
'qi'yin'liang'xu'zheng 气阴两虚证
'qi'zhi're'yong'zheng 气滞热壅证
'qi'zhi'shui'ting'zheng 气滞水停证
'qi'zhi'xue'yu'zheng 气滞血瘀证
'qing'zhi'yu'jie'zheng 情志郁结证
're'bi'zheng 热闭证
're'du'nei'yun'zheng 热毒内蕴证
're'rao'xin'shen'zheng 热扰心神证
're'wei'jin'zheng 热未尽证
're'xian'jue'yin'zheng 热陷厥阴证
're'xie'nei'yu'zheng 热邪内郁证
'ru'shi'ji'zhi'zheng 乳食积滞证
'ru'shi'nei'ji'zheng 乳食内积证
'san'jiao'yong'se'zheng 三焦壅塞证
'shang'jiao'yu'huo'gan'yang'nei'yu'zheng 上焦郁火肝阳内郁证
'shen'jing'kui'hao'zheng 肾精亏耗证
'shen'jing'kui'sun'zheng 肾精亏损证
'shen'xu'nei're'zheng 肾虚内热证
'shen'yang'xu'shuai'zheng 肾阳虚衰证
'shen'yang'xu'sun'zheng 肾阳虚损证
'shen'yuan'bu'zu'zheng 肾元不足证
'shi'du'qin'yin'zheng 湿毒侵淫证
'shi're'du'jie'zheng 湿热毒结证
'shi're'yu'zhi'zheng 湿热瘀滞证
'shi're'yun'chang'zheng 湿热蕴肠证
'shi're'yun'fu'zheng 湿热蕴肤证
'shi're'yun'zu'zheng 湿热蕴阻证
'shi're'zu'luo'zheng 湿热阻络证
'shi're'zu'zhi'zheng 湿热阻滞证
'shi'zu'zhong'jiao'zheng 湿阻中焦证
'shu'shi'yu're'zheng 暑湿郁热证
'shui'shi'jin'zi'zheng 水湿浸渍证
'sui'hai'bu'zu'zheng 髓海不足证
'tai'yang'zheng 太阳证
'tan'huo'nei'sheng'zheng 痰火内盛证
'tan're'jie'xiong'zheng 痰热结胸证
'tan're'yong'fei'zheng 痰热壅肺证
'tan'zhuo'zhong'zu'zheng 痰浊中阻证
'wang'xue'zheng 亡血证
'wang'yin'zheng 亡阴证
'wei'qi'tong'bing'zheng 卫气同病证
'wei'shi'he'jiang'zheng 胃失和降证
'wei'yin'bu'zu'zheng 胃阴不足证
'xie're'chuan'li'zheng 邪热传里证
'xin'pi'ji're'zheng 心脾积热证
'xin'qi'bu'zu'xin'mai'bu'chang'zheng 心气不足心脉不畅证
'xin'shen'bu'zu'zheng 心肾不足证
'xin'shen'liang'xu'zheng 心肾两虚证
'xin'xue'kui'xu'zheng 心血亏虚证
'xue'ku'zheng 血枯证
'yang'ming're'jie'zheng 阳明热结证
'yin'han'ning'zhi'zheng 阴寒凝滞证
'yin'xu'gan'wang'zheng 阴虚肝旺证
'yin'yang'li'jue'zheng 阴阳离决证
'yu'xue'bi'zu'zheng 瘀血痹阻证
'yu'xue'liu'zhi'zheng 瘀血留滞证
'yu'xue'nei'zu'zheng 瘀血内阻证
