'an'dian 暗点
'an'dian'shou'ling 暗点首领
'bai'fa 白发
'bao'shi'shou'cang 宝石收藏
'bi'pai'ji'xi'lan'hao 比牌技稀烂好
'bian'bian'zi 编辫子
'bie'zai'zhe'li'dao'xia 别在这里倒下
'bu'ke'she'zhi'shen 不可赦之身
'bu'she'fang'jin'qu 不设防禁区
'chi'diao'zhe'zhuo'fan 吃掉这桌饭
'chi'guang'lin'li 炽光淋漓
'chong'wu'wu'ya 宠物乌鸦
'da'xiao'jie 大小姐
'dan'shou'bao 单手抱
'diu'mo'tuo 丢摩托
'e'long 恶龙
'e'mo'de'tan'lan 恶魔的贪婪
'e'mo'mi 恶魔咪
'e'mo'xiao'mi 恶魔小咪
'fa'cai'shu 发财树
'fang'cun'ying'yu 方寸盈余
'fei'yu'xiang'ye 飞羽向夜
'feng'jian'liu'lian 锋尖流连
'feng'jian'yu'qin 锋尖欲擒
'feng'lin'ye 风临野
'ge'sheng'dong'ren 歌声动人
'gei'ni'de'xiong'zhen'mei'nong'diu'ba 给你的胸针没弄丢吧
'guan'feng'qin 管风琴
'hao'qi'ya 好气鸦
'he'jin'dan'yao'kao'lu 合金弹药烤炉
'hei'jiao'chang'pian 黑胶唱片
'hei'se'man'tuo'luo 黑色曼陀罗
'hong'bao'shi 红宝石
'hong'mou 红眸
'ji'xie'wu'ya 机械乌鸦
'jia'ma 加码
'jie'mo'si'ha 芥末嘶哈
'jie'zhi 戒指
'jin'fei'shi 金菲士
'ju'bu're'hen 局部热痕
'jue'chu 绝处
'kan'qing'xin'zhong'de'yu'wang 看清心中的欲望
'ling'yu 翎羽
'long'long 龙龙
'lue'xin 掠心
'lue'xin'duo'wei 掠心夺味
'lue'xin'shi'ke 掠心时刻
'lue'xin'xiang'shou 掠心相授
'mao'de'shou'ze 猫德守则
'mei'fei'si'te 梅菲斯特
'ming'an'jiao'jie 明暗交界
'mo'mo'tuan 魔魔团
'nan'ren'zhong'de'nan'ren 男人中的男人
'neng'liang'cao'kong 能量操控
'neng'liang'feng'bao 能量风暴
'ni'de'pin'wei'zhen'de'hen'tu 你的品味真的很土
'ni'hao'xiong'a 你好凶啊
'ning'mao'zhi'shi 狞猫执事
'qiang'xie'bao'yang 枪械保养
'qin'che 秦彻
'qin'mei'xian'qin'che 擒梅先秦彻
'quan'ji 拳击
'sha'la'bai'ren'fan 沙拉白人饭
'shen'mi'shu'zi 神秘数字
'shi'luo'lv'zhou 失落绿洲
'shi'shi'hou'shang'zheng'can'le 是时候上正餐了
'shuang'zi'shou'xia 双子手下
'shui'guo'pi'fa'shang 水果批发商
'tian'ta'xia'lai'you'lian'ding'zhe 天塌下来有脸顶着
'tong'lei 同类
'wen'rou'hu'du 温柔弧度
'wu'jin'lue'duo'zhe 无尽掠夺者
'wu'mian'zhi'wang 无冕之王
'wu'qi'zhuan'jia 武器专家
'wu'xiao'jin'gu 无效禁锢
'wu'ya'bao'shi'xiong'zhen 乌鸦宝石胸针
'wu'zhu'zhi'jing 无主之境
'xiao'li'hua 小狸花
'xin'shang'ren 心上人
'xing'dong'sheng'yu'yan'yu 行动胜于言语
'xiong'xing'zhong'de'xiong'xing 雄性中的雄性
'xu'wei'yi'dai 虚位以待
'xue'ming'xue'ying 薛明薛影
'xun'fu'lie'ma 驯服烈马
'yang'guang'long 阳光龙
'ye'shu'lin'zhi'ye 椰树林之夜
'ye'xi'zhi'zhang 夜袭之章
'yi'jie'lai'ke 异界来客
'yi'wang'da'jin 一网打尽
'yin'xuan'yi'xian 音悬一线
'ying'nan'er'shang'zai'ping'ping 迎难而上再评评
'zha'de'yue'shen'cai'yue'nan'wang'ji 扎得越深才越难忘记
'zhang'yan'fa'de'xiao'ba'xi 障眼法的小把戏
'zhe'ci'shi'ni'pao'xiang'wo 这次是你跑向我
'zhi'zhi 之之
'zhuan'wu'hui'xuan'biao 专武回旋镖
'zi'dan'ke 子弹壳
'zi'si'shi'xian 恣肆视线
