'bei'jing'gong'gong'guan'xi'xue'hui 北京公共关系学会
'bu'men'bing'lie'xing'gong'gong'guan'xi'bu 部门并列型公共关系部
'bu'men'suo'shu'xing'gong'gong'guan'xi'bu 部门所属型公共关系部
'chan'ye'zu'zhi 产业组织
'chang'zhang'ban'gong'shi 厂长办公室
'chang'zhang'fu'ze'zhi 厂长负责制
'da'xing'zu'zhi 大型组织
'di'er'chan'ye'zu'zhi 第二产业组织
'di'san'chan'ye'zu'zhi 第三产业组织
'di'yi'chan'ye'zu'zhi 第一产业组织
'dui'nei'guan'xi'zu 对内关系组
'dui'wai'guan'xi'zu 对外关系组
'fei'zheng'shi'zu'zhi 非正式组织
'fei'zheng'shi'zu'zhi'jie'gou 非正式组织结构
'fen'quan'zhi 分权制
'fo'shan'di'qu'gong'gong'guan'xi'xie'hui 佛山地区公共关系协会
'fu'wu'xing'gong'gong'guan'xi'ji'gou 服务型公共关系机构
'gong'gong'guan'xi'bu 公共关系部
'gong'gong'guan'xi'dui'xiang'xing 公共关系对象型
'gong'gong'guan'xi'fu'he'xing 公共关系复合型
'gong'gong'guan'xi'gang'wei 公共关系岗位
'gong'gong'guan'xi'gong'si 公共关系公司
'gong'gong'guan'xi'gong'si'shou'fei'fang'shi 公共关系公司收费方式
'gong'gong'guan'xi'gu'wen 公共关系顾问
'gong'gong'guan'xi'gu'wen'gong'si 公共关系顾问公司
'gong'gong'guan'xi'ji'gou 公共关系机构
'gong'gong'guan'xi'ji'gou'dui'xiang'mo'shi 公共关系机构对象模式
'gong'gong'guan'xi'ji'gou'fu'he'mo'shi 公共关系机构复合模式
'gong'gong'guan'xi'ji'gou'gong'xing'zhi'ze'mo'shi 公共关系机构共性职责模式
'gong'gong'guan'xi'ji'gou'gong'yi'ji'shu'liu'cheng 公共关系机构工艺技术流程
'gong'gong'guan'xi'ji'gou'gong'yi'yao'qiu 公共关系机构工艺要求
'gong'gong'guan'xi'ji'gou'guo'cheng'mo'shi 公共关系机构过程模式
'gong'gong'guan'xi'ji'gou'hong'guan'mo'shi 公共关系机构宏观模式
'gong'gong'guan'xi'ji'gou'ji'shu'mo'shi 公共关系机构技术模式
