'a'ben'da'zuo 阿苯哒唑
'an'ji'lv'bi'ding 氨基氯吡啶
'an'ji'lv'fen 氨基氯酚
'an'ji'lv'lian'ben 氨基氯联苯
'an'ji'lv'piao'ling 氨基氯嘌呤
'an'ji'ma'niao'suan 氨基马尿酸
'an'ji'mi'ding 氨基嘧啶
'an'ji'na 氨基钠
'an'ji'nai'fen'huang'suan 氨基萘酚磺酸
'an'ji'nai'jia'suan 氨基萘甲酸
'an'ji'niao 氨基脲
'an'ji'niao'mi'ding 氨基尿嘧啶
'an'ji'niao'yan'suan'yan 氨基脲盐酸盐
'an'ji'ou'dan'ben 氨基偶氮苯
'an'ji'pai'ding 氨基哌啶
'an'ji'piao'ling 氨基嘌呤
'an'ji'pu'tang'suan 氨基葡糖酸
'an'ji'pu'tao'tang'suan 氨基葡萄糖酸
'an'ji'qiang'ji'bi'ding 氨基羟基吡啶
'an'ji'qiang'ji'ding'suan 氨基羟基丁酸
'an'ji'qiang'ji'wu'suan 氨基羟基戊酸
'an'ji'qing'ji'bi'zuo 氨基氰基吡唑
'an'ji'qing'ji'mi'ding 氨基氰基嘧啶
'an'ji'qing'mei'wan'suan 氨基青霉烷酸
'an'ji'qing'mi'ding 氨基氰嘧啶
'an'ji'quan'ji'sai'zuo 氨基醛基噻唑
'an'ji'sai'er'zuo 氨基噻二唑
'an'ji'sai'zuo 氨基噻唑
'an'ji'sai'zuo'lin 氨基噻唑啉
'an'ji'san'chun 氨基三醇
'an'ji'san'dan'zuo 氨基三氮唑
'an'ji'san'fu'jia'ben 氨基三氟甲苯
'an'ji'san'yi'suan 氨基三乙酸
'an'ji'shi'yi'suan 氨基十一酸
'an'ji'shu'ji'piao'ling 氨基疏基嘌呤
'an'ji'shu'zhi 氨基树脂
'an'ji'shui'yang'suan 氨基水扬酸
'an'ji'shui'yang'suan 氨基水杨酸
'an'ji'si'dan'zuo 氨基四氮唑
'an'ji'si'qing'bi'luo 氨基四氢吡咯
'an'ji'suan'can'biao'zhun 氨基酸参标准
'an'ji'suan'rong'ye 氨基酸溶液
'an'ji'suan'xi'lie 氨基酸系列
'an'ji'suan'yang'hua'mei 氨基酸氧化酶
'an'ji'tie'qing'hua'na 氨基铁氰化钠
'an'ji'wu 胺基物
'an'ji'wu 氨基芴
'an'ji'wu'chun 氨基戊醇
'an'ji'wu'suan 氨基戊酸
'an'ji'wu'yan'suan'yan 氨基物盐酸盐
'an'ji'xiao'ji'ben'fen 氨基硝基苯酚
'an'ji'xiao'ji'bi'ding 氨基硝基吡啶
'an'ji'xiao'ji'fen 氨基硝基酚
'an'ji'xiao'ji'sai'zuo 氨基硝基噻唑
'an'ji'xin'suan 氨基辛酸
'an'ji'xin'suan 氨基锌酸
'an'ji'xiu'ben'fen 氨基溴苯酚
'an'ji'xiu'ben'jia'suan 氨基溴苯甲酸
'an'ji'xiu'ben'yi'tong 氨基溴苯乙酮
'an'ji'xiu'bi'ding 氨基溴吡啶
'an'ji'xiu'ji'bi'ding 氨基溴基吡啶
'an'ji'yan'suan 氨基烟酸
'an'ji'yan'suan'jia'zhi 氨基烟酸甲酯
'an'ji'yan'suan'yi'zhi 氨基烟酸乙酯
'an'ji'yan'xian'an 氨基烟酰胺
'an'ji'yi'ding'suan 氨基异丁酸
'an'ji'yi'ji'ka'zuo 氨基乙基咔唑
'an'ji'yi'ji'pai'qin 氨基乙基哌嗪
'an'ji'yi'kui'lin 氨基异喹啉
'an'ji'yi'liu'mi 氨基乙硫醚
'an'ji'yi'que 氨基乙炔
'an'ji'yi'suan 氨基乙酸
'an'ji'yi'wan'huang'suan 氨基乙烷磺酸
'an'ji'yin 氨基茚
'an'ji'yin'duo 氨基吲哚
'an'ji'ying'guang'su 氨基荧光素
'an'ji'yu'zhu 氨基预柱
'an'ji'zheng'xin'suan 氨基正辛酸
'an'jia'die'ling 氨甲蝶呤
'an'jia'die'ling'du 氨甲蝶呤度
'an'jia'ji'bi'ding 氨甲基吡啶
'an'jia'ji'fu'ben'jing 胺甲基氟苯腈
'an'qiu'ji'piao'ling 氨巯基嘌呤
'an'sai'mi 安赛蜜
'an'tai'fei'long 安太非隆
'an'ti'bi'lin'ou'dan 安替比林偶氮
'an'ti'pei'yin 安替配因
'an'xi'xiang'ding'mi 安息香丁醚
'an'xi'xiang'er'jia'mi 安息香二甲醚
'an'xi'xiang'jia'mi 安息香甲醚
'an'xi'xiang'jiao 安息香胶
'an'xi'xiang'shuang'jia'mi 安息香双甲醚
'an'xi'xiang'wo 安息香肟
'an'xi'xiang'yi'mi 安息香乙醚
'an'xian'xin'an 氨酰心安
'an'ye'you 桉叶油
'an'ye'you'chun 桉叶油醇
'an'yi'ji'chen'qin 氨乙基辰秦
'an'yi'ji'ma'lin 氨乙基吗啉
'an'yi'ji'pai'qin 氨乙基哌嗪
'ao'bi'sha'xing 奥比沙星
'ao'he'tie 螯合铁
'ao'zha'ge'lei 奥扎格雷
'ba'bi'tuo 巴比妥
'ba'bi'tuo'na'yan 巴比妥钠盐
'ba'bi'tuo'suan 巴比妥酸
'ba'bi'tuo'suan'na 巴比妥酸钠
'ba'biao'zhun'rong'ye 钯标准溶液
'ba'bo 钯箔
'ba'dou'chun 巴豆醇
'ba'dou'quan 巴豆醛
'ba'dou'suan 巴豆酸
'ba'dou'suan'yi'zhi 巴豆酸乙酯
'ba'fen 钯粉
'ba'hai'mian 钯海绵
'ba'liu'dan'er'na'yan 巴柳氮二钠盐
'ba'lv'er'bing'mi 八氯二丙醚
'ba'lv'hua'yin 八氯化茚
'ba'mei'ling 巴美灵
'ba'qiang'bing'ji'zhe'tang 八羟丙基蔗糖
'ba'qing'yin'qin'san'chun 八氢吲嗪三醇
'ba'shi'mian 钯石棉
'ba'shi'shu'an 八十叔胺
'ba'shu'an 八叔胺
'ba'si 钯丝
'ba'tan 钯碳
'ba'tan'cui'hua'ji 钯炭催化剂
'ba'tang'xian'er'gu 八羰酰二钴
'ba'xi'su'mu'su 巴西苏木素
'ba'xi'zong'lv'la 巴西棕榈蜡
'ba'xiu'fen'huang'tai 八溴酚磺酞
'ba'xiu'mi 八溴醚
'ba'yang'hua'san'you 八氧化三铀
'bai'an'chun 白氨醇
'bai'an'suan 白氨酸
'bai'an'suan'bing'an'suan 白氨酸丙氨酸
'bai'an'xian'gan'an'suan 白氨酰甘氨酸
'bai'an'xian'lao'an'suan 白氨酰酪氨酸
'bai'cao'ku 百草枯
'bai'dan'bai 白蛋白
'bai'die'ling 白蝶呤
'bai'fan'shi'lin 白凡士林
'bai'hu'jing 白糊精
'bai'hua'fen 白滑粉
'bai'hua'qing'su 白花青素
'bai'la 白蜡
'bai'li'fen 百里酚
'bai'li'fen'lan 百里酚蓝
'bai'li'fen'lan'na'yan 百里酚蓝钠盐
'bai'li'fen'tai 百里酚酞
'bai'li'fen'zi 百里酚紫
'bai'li'lu'chun 白藜芦醇
'bai'li'xiang'fen'tai 百里香酚酞
'bai'qian'ceng'you 白千层油
'bai'qu'cai'jian 白屈菜碱
'bai'qu'cai'suan 白屈菜酸
'bai'ruan'la 白软蜡
'bai'se'dan'ti 白色担体
'bai'se'gui'jiao 白色硅胶
'bai'se'suan'xi'dan'ti 白色酸洗担体
'bai'tan'hei 白炭黑
'bai'tu 白土
'bai'xiao'an 白消安
'bai'you 白油
'ban'ao'su 斑螯素
'ban'bu'qiang'ji 半补强剂
'ban'er'jia'fen'cheng 半二甲酚橙
'ban'gan'guang'jiao 版感光胶
'ban'gu'ti'qiong'zhi 半固体琼脂
'ban'guang'an 半胱胺
'ban'guang'an'suan 半胱胺酸
'ban'guang'an'suan 半胱氨酸
'ban'jie'ban'ye 版洁版液
'ban'mao'su 斑蝥素
'ban'mao'su'huang'piao'ling 斑蝥素黄嘌呤
'ban'ri'hua'su 半日花素
'ban'ru'tang 半乳糖
'ban'ru'tang'gan 半乳糖苷
'ban'ru'tang'nei'zhi 半乳糖内酯
'ban'ru'tang'quan'suan 半乳糖醛酸
'ban'ru'tang'suan'gai 半乳糖酸钙
'ban'ru'tang'suan'nei'zhi 半乳糖酸内酯
'ban'ru'tang'yan'suan 半乳糖盐酸
'ban'shi'rong'ye 班氏溶液
'ban'shi'shi'ji 班氏试剂
'bao'bi'suan 胞壁酸
'bao'ceng'ceng'xi'gui'jiao 薄层层析硅胶
'bao'gan 胞苷
'bao'gan'lin'suan 胞苷磷酸
'bao'he'fen 饱和酚
'bao'he'gan 胞核苷
'bao'mai'ji 包埋剂
'bao'mi'ding 胞嘧啶
'bao'mo'shu'zhi 薄膜树脂
'bao'tai'song 保泰松
'bei'bang 钡棒
'bei'biao'zhun'rong'ye 钡标准溶液
'bei'ge'xin'wen'ding'ji 钡镉锌稳定剂
'bei'jia'yin 贝加因
'bei'lv'he'jin 钡铝合金
'bei'si'jia'suan'er'gan 苝四甲酸二酐
'bei'si'suo'suan'er'gan 苝四羧酸二酐
'bei'ta'mi'song 倍他米松
'bei'xian'ya'an 苝酰亚胺
'ben'an 苯胺
'ben'an'ji'yi'jing 苯氨基乙腈
'ben'an'lan'chun'rong 苯胺蓝醇溶
'ben'an'lan'shui'rong 苯胺蓝水溶
'ben'an'liu'suan'yan 苯胺硫酸盐
'ben'an'yan'suan'yan 苯胺盐酸盐
'ben'an'yi'suan'yan 苯胺乙酸盐
'ben'ba'bi'tuo 苯巴比妥
'ben'ba'bi'tuo'na'yan 苯巴比妥钠盐
'ben'bing'an'chun 苯丙氨醇
'ben'bing'an'liu'suan'yan 苯丙胺硫酸盐
'ben'bing'an'suan 苯丙氨酸
'ben'bing'an'suan'dan'jie 苯丙氨酸氮芥
'ben'bing'bei 苯并苝
'ben'bing'ceng'lin 苯并噌啉
'ben'bing'chun 苯丙醇
'ben'bing'en 苯丙蒽
'ben'bing'en 苯并蒽
'ben'bing'en'er'tong 苯并蒽二酮
'ben'bing'en'tong 苯并蒽酮
'ben'bing'fei 苯并菲
'ben'bing'fu'nan'suo'suan 苯并呋喃羧酸
'ben'bing'guan'mi 苯并冠醚
'ben'bing'kui'lin 苯并喹啉
'ben'bing'mi'zuo 苯并咪唑
'ben'bing'pi 苯并芘
'ben'bing'ru'ye 苯丙乳液
'ben'bing'sai'er'zuo 苯并噻二唑
'ben'bing'sai'zuo 苯并噻唑
'ben'bing'sai'zuo'tong 苯并噻唑酮
'ben'bing'san'lv'an'zuo 苯并三氯氨唑
'ben'bing'suan 苯丙酸
'ben'bing'suan'jia'zhi 苯丙酸甲酯
'ben'bing'suan'yi'zhi 苯丙酸乙酯
'ben'bing'tian'qing 苯并天青
'ben'bing'tong 苯丙酮
'ben'bing'wu 苯并芴
'ben'bing'xian'lv 苯丙酰氯
'ben'bing'yi'sai'zuo'tong 苯丙异噻唑酮
'ben'ci'lin'suan 苯次膦酸
'ben'dan'wan'chun'tong 本胆烷醇酮
'ben'ding'suan'dan'jie 苯丁酸氮芥
'ben'duo'sheng'chun 本多生醇
'ben'er'jia'suan'qing'na 苯二甲酸氢钠
'ben'fen 苯酚
'ben'fen'biao'zhun'rong'ye 苯酚标准溶液
'ben'fen'huang'suan'bei'yan 苯酚磺酸钡盐
'ben'fen'huang'suan'na 苯酚磺酸钠
'ben'fen'huang'suan'na'yan 苯酚磺酸钠盐
'ben'fen'huang'suan'rong'ye 苯酚磺酸溶液
'ben'fen'huang'suan'xin'yan 苯酚磺酸锌盐
'ben'gan'an'chun 苯甘氨醇
'ben'hong'zi 苯红紫
'ben'huang'suan'bei 苯磺酸钡
'ben'huang'suan'gai 苯磺酸钙
'ben'huang'suan'jia'zhi 苯磺酸甲酯
'ben'huang'suan'na 苯磺酸钠
'ben'huang'suan'shui 苯磺酸水
'ben'huang'suan'shui'rong'ye 苯磺酸水溶液
'ben'huang'suan'yi'bing'zhi 苯磺酸异丙酯
'ben'huang'xian'an 苯磺酰胺
'ben'huang'xian'jing 苯磺酰肼
'ben'huang'xian'lv 苯磺酰氯
'ben'huang'xian'qiang'an 苯磺酰羟胺
'ben'huang'xian'qiang'wo'suan 苯磺酰羟肟酸
'ben'ji'an'ji'niao 苯基氨基脲
'ben'ji'an'yi'chun 苯基氨乙醇
'ben'ji'bao'tai'song 苯基保泰松
'ben'ji'ben'bing'mi'zuo 苯基苯并咪唑
'ben'ji'ben'bing'sai'zuo 苯基苯并噻唑
'ben'ji'ben'er'an 苯基苯二胺
'ben'ji'ben'jia'suan 苯基苯甲酸
'ben'ji'ben'yi'tong 苯基苯乙酮
'ben'ji'bi'luo'wan 苯基吡咯烷
'ben'ji'bing'an 苯基丙胺
'ben'ji'bing'an'suan 苯基丙氨酸
'ben'ji'bing'chun 苯基丙醇
'ben'ji'bing'er'suan 苯基丙二酸
'ben'ji'bing'er'tong 苯基丙二酮
'ben'ji'bing'quan 苯基丙醛
'ben'ji'bing'suan 苯基丙酸
'ben'ji'bing'suan'bing'zhi 苯基丙酸丙酯
'ben'ji'bing'suan'jia'zhi 苯基丙酸甲酯
'ben'ji'bing'suan'yi'zhi 苯基丙酸乙酯
'ben'ji'bing'tong 苯基丙酮
'ben'ji'bing'tong'na'yan 苯基丙酮钠盐
'ben'ji'bing'tong'suan'na 苯基丙酮酸钠
'ben'ji'bing'xi'suan'zhi 苯基丙稀酸酯
'ben'ji'ci'lin'suan 苯基次磷酸
'ben'ji'dai'liu'niao 苯基代硫脲
'ben'ji'ding'chun 苯基丁醇
'ben'ji'ding'er'suan 苯基丁二酸
'ben'ji'ding'suan 苯基丁酸
'ben'ji'ding'suan'gan 苯基丁酸酐
'ben'ji'ding'xi 苯基丁烯
'ben'ji'ding'xian'lv 苯基丁酰氯
'ben'ji'e'zuo'wan 苯基噁唑烷
'ben'ji'e'zuo'wan'tong 苯基噁唑烷酮
'ben'ji'e'zuo'wan'tong 苯基恶唑烷酮
'ben'ji'en 苯基蒽
'ben'ji'er'ben'an 苯基二苯胺
'ben'ji'er'ben'jia'chun 苯基二苯甲醇
'ben'ji'er'ben'jia'tong 苯基二苯甲酮
'ben'ji'er'lv'lin 苯基二氯膦
'ben'ji'gan'an'suan 苯基甘氨酸
'ben'ji'gui'xiang'jiao 苯基硅橡胶
'ben'ji'huan'ji'an 苯基环己胺
'ben'ji'huan'ji'tong 苯基环己酮
'ben'ji'huan'ji'wan 苯基环己烷
'ben'ji'jia'ji'gui'you 苯基甲基硅油
'ben'ji'jia'nai'an 苯基甲萘胺
'ben'ji'lin'suan'zhi 苯基磷酸酯
'ben'ji'liu'niao 苯基硫脲
'ben'ji'lv'hua'gong 苯基氯化汞
'ben'ji'ma'lin 苯基吗啉
'ben'ji'mi'zuo 苯基咪唑
'ben'ji'mi'zuo'lin 苯基咪唑啉
'ben'ji'nai'an 苯基萘胺
'ben'ji'niao 苯基脲
'ben'ji'niao'zuo 苯基脲唑
'ben'ji'pu'tang'gan 苯基葡糖苷
'ben'ji'qiang'an 苯基羟胺
'ben'ji'qiang'ji'bing'suan 苯基羟基丙酸
'ben'ji'rou'gui'jing 苯基肉桂腈
'ben'ji'rou'gui'suan 苯基肉桂酸
'ben'ji'sai'er'zuo 苯基噻二唑
'ben'ji'san'lv'gui'wan 苯基三氯硅烷
'ben'ji'san'qin'er'an 苯基三嗪二胺
'ben'ji'shi'er'wan 苯基十二烷
'ben'ji'si'an'suan 苯基丝氨酸
'ben'ji'si'qing'bi'ding 苯基四氢吡啶
'ben'ji'wu'chun 苯基芴醇
'ben'ji'wu'er'tong 苯基戊二酮
'ben'ji'wu'wan 苯基戊烷
'ben'ji'xiu'wu'wan 苯基溴芴烷
'ben'ji'yi'an 苯基乙胺
'ben'ji'yi'chun 苯基乙醇
'ben'ji'yi'chun'an 苯基乙醇胺
'ben'ji'yi'ding'tong 苯基异丁酮
'ben'ji'yi'er'an 苯基乙二胺
'ben'ji'yi'er'chun 苯基乙二醇
'ben'ji'yi'er'quan 苯基乙二醛
'ben'ji'yi'kui'lin 苯基异喹啉
'ben'ji'yin'duo 苯基吲哚
'ben'ji'yin'duo'jia'quan 苯基吲哚甲醛
'ben'ji'zheng'wu'suan 苯基正戊酸
'ben'jia'chun 苯甲醇
'ben'jia'ji'gui'you 苯甲基硅油
'ben'jia'ji'huang'xian'fu 苯甲基磺酰氟
'ben'jia'jing 苯甲腈
'ben'jia'mi 苯甲醚
'ben'jia'quan 苯甲醛
'ben'jia'quan'ben'zong 苯甲醛苯腙
'ben'jia'quan'huang'suan'na 苯甲醛磺酸钠
'ben'jia'suan 苯甲酸
'ben'jia'suan'an 苯甲酸铵
'ben'jia'suan'ben'zhi 苯甲酸苯酯
'ben'jia'suan'bian'zhi 苯甲酸苄酯
'ben'jia'suan'bing'zhi 苯甲酸丙酯
'ben'jia'suan'ci'er'chun 苯甲酸雌二醇
'ben'jia'suan'gai 苯甲酸钙
'ben'jia'suan'gan 苯甲酸酐
'ben'jia'suan'gong 苯甲酸汞
'ben'jia'suan'jia 苯甲酸钾
'ben'jia'suan'jia'zhi 苯甲酸甲酯
'ben'jia'suan'na 苯甲酸钠
'ben'jia'suan'nai'fen'zhi 苯甲酸萘酚酯
'ben'jia'suan'nai'zhi 苯甲酸萘酯
'ben'jia'suan'yi'bing'zhi 苯甲酸异丙酯
'ben'jia'suan'yi'ding'zhi 苯甲酸异丁酯
'ben'jia'suan'yi'wu'zhi 苯甲酸异戊酯
'ben'jia'suan'yi'zhi 苯甲酸乙酯
'ben'jia'suan'zheng'bing'zhi 苯甲酸正丙酯
'ben'jia'suan'zheng'ding'zhi 苯甲酸正丁酯
'ben'jia'suan'zheng'xin'zhi 苯甲酸正辛酯
'ben'jia'xian'an 苯甲酰胺
'ben'jia'xian'ben'an 苯甲酰苯胺
'ben'jia'xian'ben'fen 苯甲酰苯酚
'ben'jia'xian'bing'an'suan 苯甲酰丙氨酸
'ben'jia'xian'bing'tong 苯甲酰丙酮
'ben'jia'xian'jia'suan 苯甲酰甲酸
'ben'jia'xian'jing 苯甲酰肼
'ben'jia'xian'jing 苯甲酰腈
'ben'jia'xian'jing'an'suan 苯甲酰精胺酸
'ben'jia'xian'jing'an'suan 苯甲酰精氨酸
'ben'jia'xian'lv 苯甲酰氯
'ben'jia'xian'nai 苯甲酰萘
'ben'jia'xian'pai'ding 苯甲酰哌啶
'ben'jia'xian'xie'an'suan 苯甲酰缬氨酸
'ben'jia'xian'xiu 苯甲酰溴
'ben'jing 苯肼
'ben'jing'cao'suan'yan 苯肼草酸盐
'ben'jing'huang'suan 苯肼磺酸
'ben'jing'liu'suan'yan 苯肼硫酸盐
'ben'jing'san'dan'zuo 苯肼三氮唑
'ben'jing'yan'suan'yan 苯肼盐酸盐
'ben'liu'dai'yi'suan 苯硫代乙酸
'ben'liu'fen 苯硫酚
'ben'liu'ji'jia'wan 苯硫基甲烷
'ben'liu'mi'zuo 苯硫咪唑
'ben'liu'suan 苯六酸
'ben'mi'quan 苯醚醛
'ben'ni'di'te'rong'ye 本尼迪特溶液
'ben'peng'suan 苯硼酸
'ben'qiang'wo'suan 苯羟肟酸
'ben'san'fen'san'yi'zhi 苯三酚三乙酯
'ben'san'jia'suan 苯三甲酸
'ben'san'suan 苯三酸
'ben'san'suo'suan 苯三羧酸
'ben'san'zuo'shi'ba'an 苯三唑十八胺
'ben'shen'suan 苯胂酸
'ben'si'suan'gan 苯四酸酐
'ben'tai 苯肽
'ben'tai 苯酞
'ben'ting'suan'jia'zhi 贲亭酸甲酯
'ben'tuo'mei'na 苯妥美钠
'ben'tuo'ying 苯妥英
'ben'tuo'ying'na 苯妥英钠
'ben'wu'tong 苯戊酮
'ben'xian'ben'qiang'an 苯酰苯羟胺
'ben'xian'ji'pai'ding'tong 苯酰基哌啶酮
'ben'ya'huang'suan 苯亚磺酸
'ben'ya'huang'suan'na 苯亚磺酸钠
'ben'ya'huang'suan'xin 苯亚磺酸锌
'ben'ya'xi'suan 苯亚硒酸
'ben'ya'xi'suan'gan 苯亚硒酸酐
'ben'yang'ji'ben'fen 苯氧基苯酚
'ben'yang'ji'ben'jia'chun 苯氧基苯甲醇
'ben'yang'ji'ben'jia'quan 苯氧基苯甲醛
'ben'yang'ji'ben'jia'suan 苯氧基苯甲酸
'ben'yang'ji'bing'er'chun 苯氧基丙二醇
'ben'yang'ji'fen 苯氧基酚
'ben'yang'ji'yi'xian'an 苯氧基乙酰胺
'ben'yang'ji'yi'xian'lv 苯氧基乙酰氯
'ben'yang'lv'hua'lin 苯氧氯化膦
'ben'yang'yi'ding'suan 苯氧异丁酸
'ben'yang'yi'suan 苯氧乙酸
'ben'yang'yi'suan'jia'zhi 苯氧乙酸甲酯
'ben'yang'yi'xian'lv 苯氧乙酰氯
'ben'yi'an 苯乙胺
'ben'yi'an'yan'suan'yan 苯乙胺盐酸盐
'ben'yi'chun 苯乙醇
'ben'yi'er'chun 苯乙二醇
'ben'yi'ji'peng'suan 苯乙基硼酸
'ben'yi'liu'chun 苯乙硫醇
'ben'yi'mi 苯乙醚
'ben'yi'quan 苯乙醛
'ben'yi'que 苯乙炔
'ben'yi'que'suo'suan 苯乙炔羧酸
'ben'yi'suan 苯乙酸
'ben'yi'suan'jia'zhi 苯乙酸甲酯
'ben'yi'suan'yi'ding'zhi 苯乙酸异丁酯
'ben'yi'suan'yi'zhi 苯乙酸乙酯
'ben'yi'tong 苯乙酮
'ben'yi'xi 苯乙烯
'ben'yi'xi'chun 苯乙烯醇
